Name,TeamsPlayedFor,SuccessfulTransfers
Tierney,3,3
Maupay,3,3
Bailey,2,2
Johnson,2,2
Awoniyi,2,2
Cash,2,2
Webster,2,2
Aaronson,2,2
Aké,2,2
Botman,2,2
Malacia,2,2
Smith Rowe,2,2
Arrizabalaga,2,2
Broja,2,2
Fofana,2,2
Thiago,2,2
Wood,2,2
Dubravka,2,2
Joelinton,2,2
Bruno Guimarães,2,2
R.Sessegnon,2,2
Kilman,2,2
Dalot,1,2
Schär,1,2
Mateta,1,2
Elliott,1,2
Coufal,1,2
Jiménez,1,2
Podence,1,1
Antony,1,1
Aubameyang,1,1
Isak,1,1
Castagne,1,1
Dasilva,1,1
Henry,1,1
Dunk,1,1
Jorginho,1,1
Ward,1,1
Almirón,1,1
Doherty,1,1
Martínez,1,1
McNeil,1,1
Neto,1,1
Paquetá,1,1
Leno,1,1
Xhaka,1,1
Ødegaard,1,1
White,1,1
Nketiah,1,1
Saka,1,1
Tomiyasu,1,1
Ramsdale,1,1
Gabriel,1,1
Martinelli,1,1
Fábio Vieira,1,1
Saliba,1,1
Jesus,1,1
Coutinho,1,1
Ings,1,1
Martínez,1,1
Digne,1,1
McGinn,1,1
Mings,1,1
Watkins,1,1
Buendía,1,1
Ramsey,1,1
Diego Carlos,1,1
Moore,1,1
Solanke,1,1
Travers,1,1
Jansson,1,1
Toney,1,1
Raya,1,1
Canós,1,1
Jensen,1,1
Mbeumo,1,1
Steele,1,1
Welbeck,1,1
Groß,1,1
Veltman,1,1
Trossard,1,1
Cucurella,1,1
Sánchez,1,1
Lamptey,1,1
Mac Allister,1,1
Undav,1,1
Azpilicueta,1,1
Thiago Silva,1,1
Alonso,1,1
Ziyech,1,1
Werner,1,1
Chilwell,1,1
Pulisic,1,1
Chalobah,1,1
Mount,1,1
Havertz,1,1
James,1,1
Mendy,1,1
Gallagher,1,1
Guaita,1,1
Benteke,1,1
Ayew,1,1
Zaha,1,1
Butland,1,1
Andersen,1,1
Edouard,1,1
Guéhi,1,1
Eze,1,1
Olise,1,1
Dele,1,1
Pickford,1,1
Gray,1,1
Calvert-Lewin,1,1
Mykolenko,1,1
Gordon,1,1
Mitrović,1,1
Wilson,1,1
Rodrigo,1,1
Bamford,1,1
Harrison,1,1
Struijk,1,1
Meslier,1,1
Gelhardt,1,1
Schmeichel,1,1
Vardy,1,1
Tielemans,1,1
Maddison,1,1
Iheanacho,1,1
Barnes,1,1
Justin,1,1
Daka,1,1
Henderson,1,1
Matip,1,1
Firmino,1,1
Van Dijk,1,1
Alisson,1,1
Salah,1,1
Robertson,1,1
Alexander-Arnold,1,1
Gomez,1,1
Keita,1,1
Diogo Jota,1,1
Konaté,1,1
Tsimikas,1,1
Luis Díaz,1,1
N.Williams,1,1
Carvalho,1,1
Darwin,1,1
Walker,1,1
Gündogan,1,1
De Bruyne,1,1
Stones,1,1
Mahrez,1,1
Sterling,1,1
Grealish,1,1
Cancelo,1,1
Ederson,1,1
Laporte,1,1
Bernardo,1,1
Dias,1,1
Zinchenko,1,1
Foden,1,1
Rodri,1,1
Haaland,1,1
Álvarez,1,1
Ronaldo,1,1
De Gea,1,1
Varane,1,1
Maguire,1,1
Fred,1,1
Shaw,1,1
Fernandes,1,1
Rashford,1,1
Lindelöf,1,1
Sancho,1,1
Martial,1,1
Andreas,1,1
Darlow,1,1
Wilson,1,1
Trippier,1,1
Burn,1,1
Targett,1,1
Saint-Maximin,1,1
Pope,1,1
Henderson,1,1
McCarthy,1,1
Ward-Prowse,1,1
A.Armstrong,1,1
Walker-Peters,1,1
Adams,1,1
Bazunu,1,1
Lloris,1,1
Kane,1,1
Son,1,1
Dier,1,1
Lucas Moura,1,1
Davies,1,1
Højbjerg,1,1
Sánchez,1,1
Reguilón,1,1
Romero,1,1
Emerson Royal,1,1
Kulusevski,1,1
Perišić,1,1
Richarlison,1,1
Fabianski,1,1
Cresswell,1,1
Antonio,1,1
Dawson,1,1
Zouma,1,1
Benrahma,1,1
Bowen,1,1
Rice,1,1
Soucek,1,1
Fornals,1,1
Aguerd,1,1
Areola,1,1
Coady,1,1
Jonny,1,1
Sá,1,1
Hwang,1,1
Semedo,1,1
Neto,1,1
Aït-Nouri,1,1
Gibbs-White,1,1
Sinisterra,1,1
Hickey,1,1
Lenglet,1,1
Collins,1,1
Strakosha,1,1
Eriksen,1,1
Koulibaly,1,1
Spence,1,1
Toffolo,1,1
Mee,1,1
Lingard,1,1
Scamacca,1,1
Guedes,1,1
Dennis,1,1
Estupiñán,1,1
Matheus,1,1
Renan Lodi,1,1
Akanji,1,1
Perraud,0,0
Bentancur,0,0
Lanzini,0,0
Neves,0,0
Sergio Gómez,0,0
