Rank,Goalkeeper,Defender,Midfielder,Forward
1,Daniel (40) ,Danny (126) ,arjun (169) ,Thomas (128) 
2,Justin (39) ,Siddhant (112) ,Justin (164) ,Dhananjay (112) 
3,Denis (36) ,Denis (105) ,Danny (161) ,Subham (81) 
4,Subham (34) ,Daniel (102) ,Nathan (142) ,Siddhant (68) 
5,Dhananjay (31) ,Subham (96) ,Siddhant (135) ,Danny (64) 
6,Danny (30) ,arjun (69) ,Denis (123) ,arjun (51) 
7,Nathan (30) ,Bill (66) ,Daniel (115) ,Jia Hong (48) 
8,Thomas (27) ,Dhananjay (58) ,Thomas (111) ,Nathan (45) 
9,Bill (25) ,Nathan (51) ,Jia Hong (104) ,Daniel (39) 
10,Siddhant (23) ,Justin (49) ,Dhananjay (83) ,Bill (31) 
11,arjun (19) ,Thomas (48) ,Bill (81) ,Justin (23) 
12,Jia Hong (14) ,Jia Hong (44) ,Subham (79) ,Denis (8) 
